Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
202A PUNGGOL FIELD SINGAPORE 821202,HDB,1.3996642,103.9044956,85,BLK 102C (65079),walking,walk,107,AFT PUNGGOL RD (65209),walking,walk,142,OPP BLK 103A (65071),walking,walk,,,,,,,,
203A PUNGGOL FIELD SINGAPORE 821203,HDB,1.3985243,103.9038627,31,OPP BLK 103A (65071),walking,walk,108,BLK 102C (65079),walking,walk,216,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
204A PUNGGOL FIELD SINGAPORE 821204,HDB,1.3987783,103.9029109,141,OPP BLK 103A (65071),walking,walk,204,BLK 102C (65079),walking,walk,221,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
205A PUNGGOL FIELD SINGAPORE 821205,HDB,1.3985226,103.9021117,225,OPP BLK 103A (65071),walking,walk,273,OPP BLK 201A (65201),walking,walk,296,BLK 102C (65079),walking,walk,,,,,,,,
228A PUNGGOL FIELD MATILDA SUNDECK SINGAPORE 821228,HDB,1.4036262,103.892425,571,SOO TECK LRT STATION[PW7],walking,walk,48,OPP BLK 227A (65559),walking,walk,105,BLK 227A (65551),walking,walk,133,BEF SUMANG LANE (65541),walking,walk,,,,
258A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821258,HDB,1.4037993,103.8959881,219,SOO TECK LRT STATION[PW7],walking,walk,26,BLK 258A (65579),walking,walk,61,BLK 218 (65571),walking,walk,126,SOO TECK STN (65149),walking,walk,,,,
259A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821259,HDB,1.4038234,103.8955478,252,SOO TECK LRT STATION[PW7],walking,walk,38,BLK 218 (65571),walking,walk,61,BLK 258A (65579),walking,walk,103,BLK 259 CP (65499),walking,walk,,,,
267A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821267,HDB,1.4045591,103.8975049,83,SOO TECK LRT STATION[PW7],walking,walk,37,SOO TECK STN (65141),walking,walk,65,SOO TECK STN (65149),walking,walk,169,BLK 268C (65339),walking,walk,,,,
268A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821268,HDB,1.4041115,103.8973989,130,SOO TECK LRT STATION[PW7],walking,walk,55,SOO TECK STN (65141),walking,walk,64,SOO TECK STN (65149),walking,walk,130,BLK 268C (65339),walking,walk,,,,
269A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821269,HDB,1.403149,103.8989758,301,SOO TECK LRT STATION[PW7],walking,walk,59,OPP BLK 268D (65331),walking,walk,103,BLK 268C (65339),walking,walk,225,BLK 272C (65349),walking,walk,,,,
270A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821270,HDB,1.4039795,103.8994549,279,PUNGGOL MRT STATION[NE17],walking,walk,161,OPP BLK 268D (65331),walking,walk,182,BLK 268C (65339),walking,walk,244,BLK 272C (65349),walking,walk,,,,
102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102,HDB,1.3990853,103.9054714,82,BLK 102C (65079),walking,walk,,,,,,,,,,,,,,,,
197B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822197,HDB,1.4001315,103.9066476,163,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,,,,,
199B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822199,HDB,1.39997,103.9057512,116,OPP BLK 199C (65081),walking,walk,152,OPP BLK 296 (65089),walking,walk,,,,,,,,,,,,
201B PUNGGOL FIELD SINGAPORE 822201,HDB,1.399978,103.9038532,56,AFT PUNGGOL RD (65209),walking,walk,138,OPP BLK 201A (65201),walking,walk,152,BLK 102C (65079),walking,walk,,,,,,,,
202B PUNGGOL FIELD SINGAPORE 822202,HDB,1.3992348,103.9042775,61,BLK 102C (65079),walking,walk,90,OPP BLK 103A (65071),walking,walk,141,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
203B PUNGGOL FIELD SINGAPORE 822203,HDB,1.3980484,103.9034765,85,OPP BLK 103A (65071),walking,walk,172,BLK 102C (65079),walking,walk,274,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
204B PUNGGOL FIELD SINGAPORE 822204,HDB,1.3986822,103.9032111,106,OPP BLK 103A (65071),walking,walk,173,BLK 102C (65079),walking,walk,215,AFT PUNGGOL RD (65209),walking,walk,,,,,,,,
228B PUNGGOL FIELD MATILDA SUNDECK SINGAPORE 822228,HDB,1.4037624,103.8915537,660,SOO TECK LRT STATION[PW7],walking,walk,43,BEF SUMANG LANE (65541),walking,walk,47,AFT SUMANG LANE (65549),walking,walk,113,OPP BLK 227A (65559),walking,walk,,,,
258B PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 822258,HDB,1.4036823,103.8964614,200,SOO TECK LRT STATION[PW7],walking,walk,49,BLK 258A (65579),walking,walk,98,SOO TECK STN (65149),walking,walk,105,BLK 218 (65571),walking,walk,,,,
259B PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 822259,HDB,1.4038783,103.8952388,276,SOO TECK LRT STATION[PW7],walking,walk,55,BLK 218 (65571),walking,walk,80,BLK 259 CP (65499),walking,walk,82,OPP BLK 259 CP (65491),walking,walk,,,,
267B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822267,HDB,1.4044327,103.8979324,117,SOO TECK LRT STATION[PW7],walking,walk,86,SOO TECK STN (65141),walking,walk,112,SOO TECK STN (65149),walking,walk,145,BLK 268C (65339),walking,walk,,,,
268B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822268,HDB,1.4037824,103.8973001,166,SOO TECK LRT STATION[PW7],walking,walk,84,SOO TECK STN (65149),walking,walk,86,SOO TECK STN (65141),walking,walk,109,BLK 268C (65339),walking,walk,,,,
